ApplicableInspectionTypes,Make,Name
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",BMW,Z4
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",BMW,3-Series Convertible
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",BMW,6-Series Coupe
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",BMW,5-Series GT
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",BMW,M3 Convertible
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",BMW,X7
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",BMW,Other BMW Models
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Cadillac,ATS ATS-V
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Cadillac,ATS
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Cadillac,ATS Coupe
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Cadillac,ATS ATS-V Coupe
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Cadillac,CT6
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Cadillac,CTS
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Cadillac,CTS-V
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Cadillac,Escalade
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Cadillac,XT4
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Cadillac,Other Cadillac Models
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Cadillac,XTS
"Luxury Car Inspection 360 , Luxury Car Inspection 180 , Luxury Car Inspection 90 , Luxury Car Inspection K , Luxury Car Inspection R , Luxury Car Inspection M",Cadillac,XT5
"Super Luxury Inspection 360 , Super Luxury Inspection 180 , Super Luxury Inspection 90 , Super Luxury Inspection M",Caterham,Other Caterham Model
"Super Luxury Inspection 360 , Super Luxury Inspection 180 , Super Luxury Inspection 90 , Super Luxury Inspection M",Caterham,Seven
"Sedan Inspection 360 , Sedan Inspection 180 , Sedan Inspection 90 , Sedan Inspection K , Sedan Inspection R ,  Sedan Inspection M",Changan,Alsvin
"Sedan Inspection 360 , Sedan Inspection 180 , Sedan Inspection 90 , Sedan Inspection K , Sedan Inspection R ,  Sedan Inspection M",Changan,Eado
"SUV Inspection 360 , SUV Inspection 180 , SUV Inspection 90 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Changan,CS35
"SUV Inspection 360 , SUV Inspection 180 , SUV Inspection 90 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Changan,CS75
"SUV Inspection 360 , SUV Inspection 180 , SUV Inspection 90 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Changan,CS95
"SUV Inspection 360 , SUV Inspection 180 , SUV Inspection 90 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Changan,Other Changan Model
"SUV Inspection 360 , SUV Inspection 90 , SUV Inspection 180 , SUV Inspection K , SUV Inspection R , SUV Inspection M",Changan,ALSVIN
"SUV Inspection 360 , SUV Inspection K , SUV Inspection 90 , SUV Inspection 180 , SUV Inspection R , SUV Inspection M",Changan,EADO PLUS
"Sedan Inspection 360 , Sedan Inspection 180 , Sedan Inspection 90 , Sedan Inspection K , Sedan Inspection R ,  Sedan Inspection M",Chery,Arrizo 3
"Sedan Inspection 360 , Sedan Inspection 180 , Sedan Inspection 90 , Sedan Inspection K , Sedan Inspection R ,  Sedan Inspection M",Chery,Arrizo 5
"Sedan Inspection 360 , Sedan Inspection 180 , Sedan Inspection 90 , Sedan Inspection K , Sedan Inspection R ,  Sedan Inspection M",Chery,Arrizo 7
